Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,,,
2018,Third,Federation,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Flat/Unit,Total,170,190,224,s,314,4.11%,8.57%,-18.75%,-39.53%,,,
2018,Third,Federation,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Federation,Flat/Unit,1 Bedroom,-,-,-,-,63,-,-,-,-,,,
2018,Third,Federation,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,Flat/Unit,2 Bedrooms,180,200,225,s,216,3.90%,8.11%,-29.17%,-39.29%,,,
2018,Third,Federation,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Federation,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Total,Total,208,240,271,56,653,9.09%,9.09%,-28.21%,-5.08%,,,
2018,Third,Forbes,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Total,1 Bedroom,-,-,-,-,35,-,-,-,-,,,
2018,Third,Forbes,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Forbes,Total,2 Bedrooms,186,218,236,s,258,4.82%,14.47%,-40.00%,-18.18%,,,
2018,Third,Forbes,Total,3 Bedrooms,216,250,264,s,265,0.00%,2.04%,-14.29%,11.11%,,,
2018,Third,Forbes,Total,4 or more Bedrooms,-,-,-,-,68,-,-,-,-,,,
2018,Third,Forbes,House,Total,220,250,275,41,387,-3.85%,2.04%,-25.45%,0.00%,,,
2018,Third,Forbes,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,House,2 Bedrooms,-,-,-,-,56,-,-,-,-,,,
2018,Third,Forbes,House,3 Bedrooms,216,250,264,s,250,0.00%,2.04%,-14.29%,15.38%,,,
2018,Third,Forbes,House,4 or more Bedrooms,-,-,-,-,67,-,-,-,-,,,
2018,Third,Forbes,Other,Total,-,-,-,-,35,-,-,-,-,,,
2018,Third,Forbes,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Forbes,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Forbes,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Forbes,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Flat/Unit,Total,164,215,224,s,220,10.26%,16.22%,-26.32%,0.00%,,,
2018,Third,Forbes,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Forbes,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Flat/Unit,2 Bedrooms,155,215,225,s,181,8.86%,16.22%,-27.78%,-7.14%,,,
2018,Third,Forbes,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Forbes,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Total,Total,178,215,255,43,269,-8.51%,-2.27%,168.75%,59.26%,,,
2018,Third,Gilgandra,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Total,1 Bedroom,-,-,-,-,43,-,-,-,-,,,
2018,Third,Gilgandra,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gilgandra,Total,2 Bedrooms,-,-,-,-,68,-,-,-,-,,,
2018,Third,Gilgandra,Total,3 Bedrooms,208,220,253,s,116,-15.38%,0.00%,185.71%,33.33%,,,
2018,Third,Gilgandra,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gilgandra,House,Total,211,223,264,s,182,-9.18%,-3.26%,150.00%,42.86%,,,
2018,Third,Gilgandra,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,House,2 Bedrooms,-,-,-,-,36,-,-,-,-,,,
2018,Third,Gilgandra,House,3 Bedrooms,208,220,253,s,108,-15.38%,0.00%,185.71%,33.33%,,,
2018,Third,Gilgandra,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gilgandra,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gilgandra,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Flat/Unit,Total,159,165,175,s,71,-5.71%,-5.71%,333.33%,116.67%,,,
2018,Third,Gilgandra,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Flat/Unit,1 Bedroom,-,-,-,-,35,-,-,-,-,,,
2018,Third,Gilgandra,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gilgandra,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gilgandra,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Total,Total,195,220,250,55,653,-4.35%,-4.35%,-40.86%,-42.11%,,,
2018,Third,Glen Innes Severn,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Total,1 Bedroom,-,-,-,-,88,-,-,-,-,,,
2018,Third,Glen Innes Severn,Total,Not Specified,-,-,-,-,55,-,-,-,-,,,
2018,Third,Glen Innes Severn,Total,2 Bedrooms,181,195,220,s,164,8.33%,0.00%,-30.77%,-35.71%,,,
2018,Third,Glen Innes Severn,Total,3 Bedrooms,220,240,265,s,264,-4.00%,-4.00%,-36.84%,-38.46%,,,
2018,Third,Glen Innes Severn,Total,4 or more Bedrooms,-,-,-,-,82,-,-,-,-,,,
2018,Third,Glen Innes Severn,House,Total,220,240,260,42,425,-4.00%,-1.03%,-27.59%,-25.00%,,,
2018,Third,Glen Innes Severn,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,House,Not Specified,-,-,-,-,31,-,-,-,-,,,
2018,Third,Glen Innes Severn,House,2 Bedrooms,184,200,220,s,68,8.11%,-11.11%,71.43%,20.00%,,,
2018,Third,Glen Innes Severn,House,3 Bedrooms,220,240,260,s,242,-4.00%,-4.00%,-36.11%,-34.29%,,,
2018,Third,Glen Innes Severn,House,4 or more Bedrooms,-,-,-,-,76,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,Total,-,-,-,-,51,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Glen Innes Severn,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,Total,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Flat/Unit,Total,140,160,190,s,172,6.67%,0.00%,-62.07%,-66.67%,,,
2018,Third,Glen Innes Severn,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Flat/Unit,1 Bedroom,-,-,-,-,75,-,-,-,-,,,
2018,Third,Glen Innes Severn,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Flat/Unit,2 Bedrooms,-,-,-,-,81,-,-,-,-,,,
2018,Third,Glen Innes Severn,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Glen Innes Severn,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Total,Total,300,360,410,202,2313,9.09%,9.09%,-5.61%,-9.82%,,,
2018,Third,Goulburn Mulwaree,Total,Bedsitter,-,-,-,-,s,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Total,1 Bedroom,-,-,-,-,143,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Total,Not Specified,-,-,-,-,124,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Total,2 Bedrooms,248,280,300,36,614,3.70%,4.67%,-36.84%,-35.71%,,,
2018,Third,Goulburn Mulwaree,Total,3 Bedrooms,330,360,390,103,993,2.86%,2.86%,11.96%,0.98%,,,
2018,Third,Goulburn Mulwaree,Total,4 or more Bedrooms,420,430,460,43,418,2.38%,3.61%,0.00%,0.00%,,,
2018,Third,Goulburn Mulwaree,House,Total,335,380,420,139,1400,8.57%,8.57%,-2.11%,-2.80%,,,
2018,Third,Goulburn Mulwaree,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,House,Not Specified,-,-,-,-,32,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,House,2 Bedrooms,-,-,-,-,189,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,House,3 Bedrooms,330,360,390,83,783,2.86%,2.86%,9.21%,5.06%,,,
2018,Third,Goulburn Mulwaree,House,4 or more Bedrooms,420,430,460,41,381,2.38%,2.99%,10.81%,7.89%,,,
2018,Third,Goulburn Mulwaree,Other,Total,268,355,378,s,209,18.33%,-4.05%,-53.33%,-22.22%,,,
2018,Third,Goulburn Mulwaree,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Other,Not Specified,-,-,-,-,67,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Other,2 Bedrooms,-,-,-,-,47,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Other,3 Bedrooms,-,-,-,-,62,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Townhouse,Total,280,340,403,s,228,13.33%,13.33%,37.50%,4.76%,,,
2018,Third,Goulburn Mulwaree,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Townhouse,2 Bedrooms,-,-,-,-,95,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Townhouse,3 Bedrooms,370,395,410,s,105,5.33%,5.33%,140.00%,20.00%,,,
2018,Third,Goulburn Mulwaree,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,Total,225,250,300,s,476,-1.96%,6.38%,3.85%,-35.71%,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,1 Bedroom,-,-,-,-,116,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,2 Bedrooms,230,250,290,s,283,6.38%,6.38%,6.25%,-34.62%,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,3 Bedrooms,-,-,-,-,43,-,-,-,-,,,
2018,Third,Goulburn Mulwaree,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Total,Total,200,230,266,44,356,-4.17%,-4.17%,41.94%,10.00%,,,
2018,Third,Greater Hume Shire,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Greater Hume Shire,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Greater Hume Shire,Total,2 Bedrooms,159,188,220,s,75,-6.25%,4.17%,33.33%,20.00%,,,
2018,Third,Greater Hume Shire,Total,3 Bedrooms,230,245,265,s,185,-1.01%,2.08%,75.00%,0.00%,,,
2018,Third,Greater Hume Shire,Total,4 or more Bedrooms,-,-,-,-,60,-,-,-,-,,,
2018,Third,Greater Hume Shire,House,Total,220,245,273,35,285,-1.01%,2.08%,45.83%,-2.78%,,,
2018,Third,Greater Hume Shire,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,House,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,House,2 Bedrooms,-,-,-,-,48,-,-,-,-,,,
2018,Third,Greater Hume Shire,House,3 Bedrooms,230,248,263,s,167,1.02%,3.13%,63.64%,-10.00%,,,
2018,Third,Greater Hume Shire,House,4 or more Bedrooms,-,-,-,-,59,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,Total,-,-,-,-,40,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Greater Hume Shire,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Total,Total,250,310,360,197,2182,0.00%,3.33%,18.67%,11.93%,,,
2018,Third,Griffith,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Total,1 Bedroom,-,-,-,-,130,-,-,-,-,,,
2018,Third,Griffith,Total,Not Specified,213,300,350,46,220,0.00%,5.26%,43.75%,142.11%,,,
2018,Third,Griffith,Total,2 Bedrooms,220,260,290,44,715,0.00%,4.00%,0.00%,4.76%,,,
2018,Third,Griffith,Total,3 Bedrooms,300,330,360,76,821,-1.49%,0.00%,26.67%,5.56%,,,
2018,Third,Griffith,Total,4 or more Bedrooms,378,400,450,s,294,5.26%,6.67%,-4.00%,-25.00%,,,
2018,Third,Griffith,House,Total,300,350,390,87,946,2.94%,2.94%,17.57%,-9.37%,,,
2018,Third,Griffith,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,House,Not Specified,-,-,-,-,53,-,-,-,-,,,
2018,Third,Griffith,House,2 Bedrooms,-,-,-,-,89,-,-,-,-,,,
2018,Third,Griffith,House,3 Bedrooms,300,340,360,45,534,3.03%,0.00%,9.76%,-16.67%,,,
2018,Third,Griffith,House,4 or more Bedrooms,380,405,450,s,263,6.58%,9.46%,10.00%,-29.03%,,,
2018,Third,Griffith,Other,Total,270,310,350,41,386,3.33%,10.71%,5.13%,105.00%,,,
2018,Third,Griffith,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Other,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Griffith,Other,Not Specified,270,310,350,s,140,3.33%,-3.12%,26.09%,262.50%,,,
2018,Third,Griffith,Other,2 Bedrooms,-,-,-,-,103,-,-,-,-,,,
2018,Third,Griffith,Other,3 Bedrooms,-,-,-,-,98,-,-,-,-,,,
2018,Third,Griffith,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Griffith,Townhouse,Total,-,-,-,-,66,-,-,-,-,,,
2018,Third,Griffith,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Griffith,Townhouse,3 Bedrooms,-,-,-,-,37,-,-,-,-,,,
2018,Third,Griffith,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Flat/Unit,Total,210,255,300,66,784,-1.92%,2.00%,50.00%,20.00%,,,
2018,Third,Griffith,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Griffith,Flat/Unit,1 Bedroom,-,-,-,-,106,-,-,-,-,,,
2018,Third,Griffith,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Griffith,Flat/Unit,2 Bedrooms,210,250,280,33,496,-3.85%,0.00%,13.79%,6.45%,,,
2018,Third,Griffith,Flat/Unit,3 Bedrooms,300,320,350,s,152,6.67%,10.34%,162.50%,75.00%,,,
2018,Third,Griffith,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Total,Total,250,310,380,134,1211,-6.06%,0.81%,-6.29%,1.52%,,,
2018,Third,Gunnedah,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Total,1 Bedroom,-,-,-,-,73,-,-,-,-,,,
2018,Third,Gunnedah,Total,Not Specified,-,-,-,-,109,-,-,-,-,,,
2018,Third,Gunnedah,Total,2 Bedrooms,223,240,290,34,325,-4.00%,-4.00%,17.24%,36.00%,,,
2018,Third,Gunnedah,Total,3 Bedrooms,280,325,366,56,462,-2.99%,4.84%,0.00%,-15.15%,,,
2018,Third,Gunnedah,Total,4 or more Bedrooms,383,445,490,34,241,5.95%,4.71%,-10.53%,13.33%,,,
2018,Third,Gunnedah,House,Total,285,320,400,91,725,-8.57%,-1.54%,-4.21%,-3.19%,,,
2018,Third,Gunnedah,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,House,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,House,Not Specified,-,-,-,-,38,-,-,-,-,,,
2018,Third,Gunnedah,House,2 Bedrooms,243,280,300,s,83,3.70%,-1.75%,75.00%,100.00%,,,
2018,Third,Gunnedah,House,3 Bedrooms,280,318,360,44,366,-6.62%,3.25%,-2.22%,-21.43%,,,
2018,Third,Gunnedah,House,4 or more Bedrooms,375,435,490,32,225,3.57%,3.57%,-11.11%,10.34%,,,
2018,Third,Gunnedah,Other,Total,-,-,-,-,100,-,-,-,-,,,
2018,Third,Gunnedah,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Other,Not Specified,-,-,-,-,49,-,-,-,-,,,
2018,Third,Gunnedah,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Flat/Unit,Total,216,240,335,32,364,-4.00%,-4.00%,-21.95%,3.23%,,,
2018,Third,Gunnedah,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gunnedah,Flat/Unit,1 Bedroom,-,-,-,-,50,-,-,-,-,,,
2018,Third,Gunnedah,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gunnedah,Flat/Unit,2 Bedrooms,213,230,255,s,223,-8.00%,-6.12%,-5.00%,18.75%,,,
2018,Third,Gunnedah,Flat/Unit,3 Bedrooms,-,-,-,-,65,-,-,-,-,,,
2018,Third,Gunnedah,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Total,Total,200,230,250,s,184,-8.00%,15.00%,-32.00%,-10.53%,,,
2018,Third,Gwydir,Total,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Total,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,Total,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,Total,2 Bedrooms,-,-,-,-,35,-,-,-,-,,,
2018,Third,Gwydir,Total,3 Bedrooms,-,-,-,-,79,-,-,-,-,,,
2018,Third,Gwydir,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,House,Total,205,240,250,s,133,-4.00%,4.35%,-27.27%,14.29%,,,
2018,Third,Gwydir,House,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,House,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,House,Not Specified,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,House,2 Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,House,3 Bedrooms,-,-,-,-,73,-,-,-,-,,,
2018,Third,Gwydir,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,Other,Total,-,-,-,-,s,-,-,-,-,,,
2018,Third,Gwydir,Other,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Other,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Other,Not Specified,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Flat/Unit,Total,-,-,-,-,38,-,-,-,-,,,
2018,Third,Gwydir,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-,,,
2018,Third,Gwydir,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-,,,
